price,bedroom,bathroom,area(sqft),country,city,address,propert_type,purpose,furnishing,completion_status,handover,project_name
1526888.0,1.0,2.0,733.0, UAE, Dubai, Expo City,Apartment,Sale,Unfurnished,Off-Plan,Q1 2029,Terra Heights
770000.0,2.0,1.0,403.0, UAE, Dubai, Dubai South,Apartment,Sale,Unfurnished,Off-Plan,Q1 2029,Azizi Venice
1364297.0,1.0,2.0,1018.0, UAE, Dubai, Arjan,Apartment,Sale,Unfurnished,Off-Plan,Q3 2026,Gharbi I Residences
1200000.0,2.0,3.0,1367.0, UAE, Dubai, Dubai Sports City,Apartment,Sale,Unfurnished,Ready,Q3 2026,Profile Residence
3350000.0,5.0,6.0,3468.0, UAE, Dubai, DAMAC Lagoons,Townhouse,Sale,Unfurnished,Off-Plan,Q4 2026,Morocco
1225000.0,1.0,2.0,1042.0, UAE, Dubai, Green Community,Apartment,Sale,Furnished,Ready,Q4 2026,Morocco
1594890.0,1.0,1.0,666.0, UAE, Dubai, Ras Al Khor,Apartment,Sale,Unfurnished,Off-Plan,Q4 2026,Sobha One Tower A
14900000.0,5.0,6.0,7999.0, UAE, Dubai, Umm Suqeim,Villa,Sale,Unfurnished,Ready,Q4 2026,Umm Suqeim 3
3900000.0,3.0,4.0,3030.0, UAE, Dubai, Dubai South,Villa,Sale,Unfurnished,Off-Plan,Q4 2026,Umm Suqeim 3
33000000.0,6.0,8.0,12887.0, UAE, Dubai, Tilal Al Ghaf,Villa,Sale,Unfurnished,Off-Plan,Q4 2026,Serenity Mansions
2000000.0,2.0,3.0,1370.0, UAE, Dubai, Al Furjan,Apartment,Sale,Unfurnished,Off-Plan,Q1 2026,ZaZEN Ivy
12500000.0,5.0,6.0,9328.0, UAE, Dubai, Dubailand,Villa,Sale,Unfurnished,Off-Plan,Q4 2027,Haven by Aldar
2350000.0,1.0,1.0,704.0, UAE, Dubai, Dubai Islands,Apartment,Sale,Furnished,Off-Plan,Q2 2026,Villa del DIVOS
1999999.0,2.0,2.0,1040.0, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Furnished,Off-Plan,Q2 2026,PRUDENTIAL TOWERS
3620888.0,3.0,3.0,2450.0, UAE, Dubai, Dubai South,Townhouse,Sale,Unfurnished,Off-Plan,Q1 2029,PRUDENTIAL TOWERS
3530888.0,3.0,3.0,2418.0, UAE, Dubai, Dubai South,Townhouse,Sale,Unfurnished,Off-Plan,Q1 2029,PRUDENTIAL TOWERS
257092.0,2.0,1.0,465.0, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Unfurnished,Ready,Q1 2029,PRUDENTIAL TOWERS
1559000.0,2.0,1.0,404.0, UAE, Dubai, Business Bay,Apartment,Sale,Furnished,Off-Plan,Q4 2029,Bayz 102 by Danube
1700000.0,2.0,2.0,1042.0, UAE, Dubai, Dubai Science Park,Apartment,Sale,Furnished,Off-Plan,Q3 2027,Opalz by Danube
550000.0,1.0,2.0,616.0, UAE, Dubai, International City,Apartment,Sale,Unfurnished,Ready,Q3 2027,Opalz by Danube
2600000.0,4.0,3.0,2078.0, UAE, Dubai, DAMAC Lagoons,Townhouse,Sale,Unfurnished,Off-Plan,Q3 2025,Costa Brava
4950000.0,3.0,4.0,1857.0, UAE, Dubai, Dubai Hills Estate,Apartment,Sale,Unfurnished,Off-Plan,Q1 2027,Golf Grand
4650000.0,2.0,2.0,1255.0, UAE, Dubai, Downtown Dubai,Apartment,Sale,Furnished,Ready,Q1 2027,Golf Grand
2984888.0,3.0,3.0,1570.0, UAE, Dubai, Dubai South,Apartment,Sale,Unfurnished,Off-Plan,Q3 2029,Golf Grand
982664.0,3.0,2.0,1496.0, UAE, Dubai, Remraam,Apartment,Sale,Unfurnished,Ready,Q3 2029,Golf Grand
1189000.0,1.0,1.0,626.0, UAE, Dubai, Dubai Silicon Oasis (DSO),Apartment,Sale,Furnished,Off-Plan,Q3 2028,Timez By Danube
1100000.0,1.0,1.0,734.0, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Unfurnished,Off-Plan,Q3 2028,Timez By Danube
